Venue1_Id,Venue2_Id,Venue_StreetAddress1,Venue_StreetAddress2,Similarity
1,610,190 Constitution Drive,190 Constitution Dr,0.85
2,61,6842 Main Street,6842 Main Street,1.0
3,53,1009 Armour Road North,1009 Armour Road North,1.0
3,62,1009 Armour Road North,1009 Armour Road North,1.0
4,33,1611 Adrian Road,1611 Adrian Road,1.0
4,88,1611 Adrian Road,1611 Adrian Road,1.0
8,134,1432 North Main Street,1432 North Main Street,1.0
9,21,105 Bayly Street East,105 Bayly Street East,1.0
10,217,Vogelweidplatz 14,Vogelweidplatz 14,1.0
10,509,Vogelweidplatz 14,Vogelweidplatz 14,1.0
11,942,2145 Park Blvd,2145 Park Blvd,1.0
11,1031,2145 Park Blvd,2145 Park Blvd.,0.9230769230769231
14,219,An den Sportstätten 6,An den Sportstätten 6,1.0
14,605,An den Sportstätten 6,An den Sportstätten 6,1.0
14,979,An den Sportstätten 6,An den Sportstätten 6,1.0
14,1099,An den Sportstätten 6,An den Sportstätten 6,1.0
14,1417,An den Sportstätten 6,An den Sportstätten 6,1.0
16,881,16318 Great Oaks Drive,16318 Great Oaks Drive,1.0
23,42,10410 Valley Blvd.,10410 Valley Blvd.,1.0
23,77,10410 Valley Blvd.,10410 Valley Blvd,0.9375
23,84,10410 Valley Blvd.,10410 Valley Blvd.,1.0
23,221,10410 Valley Blvd.,10410 Valley Blvd,0.9375
26,102,9255 Telstar Ave,9255 Telstar Avenue,0.8235294117647058
26,123,9255 Telstar Ave,9255 Telstar Ave,1.0
26,128,9255 Telstar Ave,9255 Telstar Ave,1.0
26,382,9255 Telstar Ave,9255 TELSTAR AVE,1.0
26,411,9255 Telstar Ave,9255 TELSTAR AVENUE,0.8235294117647058
26,481,9255 Telstar Ave,9255 Telstar ave,1.0
26,488,9255 Telstar Ave,9255 Telstar Ave,1.0
26,506,9255 Telstar Ave,9255 Telstar Ave,1.0
26,723,9255 Telstar Ave,9255 Telstar Ave,1.0
28,38,1432 N. Main St.,1432 N. Main St,0.9230769230769231
28,259,1432 N. Main St.,1432 N. Main St.,1.0
29,142,13900 North Central Expressway,13900 North Central Expressway,1.0
33,88,1611 Adrian Road,1611 Adrian Road,1.0
38,259,1432 N. Main St,1432 N. Main St.,0.9230769230769231
40,43,55 Harbord Street,55 Harbord Street,1.0
40,45,55 Harbord Street,55 Harbord Street,1.0
40,103,55 Harbord Street,55 Harbord Street,1.0
40,266,55 Harbord Street,55 Harbord Street,1.0
42,77,10410 Valley Blvd.,10410 Valley Blvd,0.9375
42,84,10410 Valley Blvd.,10410 Valley Blvd.,1.0
42,221,10410 Valley Blvd.,10410 Valley Blvd,0.9375
43,45,55 Harbord Street,55 Harbord Street,1.0
43,103,55 Harbord Street,55 Harbord Street,1.0
43,266,55 Harbord Street,55 Harbord Street,1.0
44,95,33540 Central Ave,33540 Central Avenue,0.8333333333333334
44,1106,33540 Central Ave,33540 Central Ave,1.0
45,103,55 Harbord Street,55 Harbord Street,1.0
45,266,55 Harbord Street,55 Harbord Street,1.0
46,97,500 W. Nedderman Drive,500 W.Nedderman Drive,1.0
46,272,500 W. Nedderman Drive,500 W. Nedderman Drive,1.0
47,81,20-24 119th Street,20-24 119th Street,1.0
47,98,20-24 119th Street,20-24 119th Street,1.0
47,883,20-24 119th Street,20-24 119th Street,1.0
49,473,220 Westwood Plaza,220 Westwood Plaza,1.0
49,836,220 Westwood Plaza,220 Westwood Plz,0.8125
49,1221,220 Westwood Plaza,220 Westwood Plaza,1.0
51,646,15150 Bull Run Road,15150 Bull Run Road,1.0
51,1334,15150 Bull Run Road,15150 Bull Run Road,1.0
52,394,110 Sabine St.,110 Sabine St.,1.0
53,62,1009 Armour Road North,1009 Armour Road North,1.0
60,113,Falkoner Alle 9,Falkoner Alle 9,1.0
60,208,Falkoner Alle 9,Falkoner Alle 9,1.0
60,407,Falkoner Alle 9,Falkoner alle 9,1.0
63,151,379 Victoria Street,379 Victoria Street,1.0
63,305,379 Victoria Street,379 Victoria Street,1.0
63,658,379 Victoria Street,350 Victoria Street,0.8823529411764706
63,718,379 Victoria Street,350 Victoria Street,0.8823529411764706
63,1358,379 Victoria Street,379 Victoria Street,1.0
67,120,235 Frontenac St,235 Frontenac St.,0.9333333333333333
67,237,235 Frontenac St,235 Frontenac St.,0.9333333333333333
67,741,235 Frontenac St,235 Frontenac St,1.0
69,86,63-25 Main Street,63-25 Main Street,1.0
69,255,63-25 Main Street,63-25 MAIN STREET,1.0
69,541,63-25 Main Street,63-25 Main Street,1.0
75,138,120 Vassar Street,120 Vassar Street,1.0
75,431,120 Vassar Street,106 Vasser Street,0.8
75,767,120 Vassar Street,120 Vassar Street,1.0
77,84,10410 Valley Blvd,10410 Valley Blvd.,0.9375
77,221,10410 Valley Blvd,10410 Valley Blvd,1.0
81,98,20-24 119th Street,20-24 119th Street,1.0
81,883,20-24 119th Street,20-24 119th Street,1.0
82,109,169 Flanders Rd,169 Flanders Road,0.8
82,147,169 Flanders Rd,169 Flanders Road,0.8
82,367,169 Flanders Rd,169 Flanders Road,0.8
82,763,169 Flanders Rd,169 Flanders Rd,1.0
83,87,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,119,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,153,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
83,162,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,238,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,253,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
83,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
83,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
83,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
83,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
84,221,10410 Valley Blvd.,10410 Valley Blvd,0.9375
86,255,63-25 Main Street,63-25 MAIN STREET,1.0
86,541,63-25 Main Street,63-25 Main Street,1.0
87,119,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,153,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
87,162,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,238,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,253,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
87,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
87,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
87,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
87,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
95,1106,33540 Central Avenue,33540 Central Ave,0.8333333333333334
97,272,500 W.Nedderman Drive,500 W. Nedderman Drive,1.0
98,883,20-24 119th Street,20-24 119th Street,1.0
100,187,4151 Jacombs Road,4151 Jacombs Road,1.0
102,123,9255 Telstar Avenue,9255 Telstar Ave,0.8235294117647058
102,128,9255 Telstar Avenue,9255 Telstar Ave,0.8235294117647058
102,382,9255 Telstar Avenue,9255 TELSTAR AVE,0.8235294117647058
102,411,9255 Telstar Avenue,9255 TELSTAR AVENUE,1.0
102,481,9255 Telstar Avenue,9255 Telstar ave,0.8235294117647058
102,488,9255 Telstar Avenue,9255 Telstar Ave,0.8235294117647058
102,506,9255 Telstar Avenue,9255 Telstar Ave,0.8235294117647058
102,723,9255 Telstar Avenue,9255 Telstar Ave,0.8235294117647058
103,266,55 Harbord Street,55 Harbord Street,1.0
109,147,169 Flanders Road,169 Flanders Road,1.0
109,367,169 Flanders Road,169 Flanders Road,1.0
109,763,169 Flanders Road,169 Flanders Rd,0.8
113,208,Falkoner Alle 9,Falkoner Alle 9,1.0
113,407,Falkoner Alle 9,Falkoner alle 9,1.0
116,117,245 South Spruce Ave,245 South Spruce Ave,1.0
116,493,245 South Spruce Ave,245 South Spruce Avenue,0.85
117,493,245 South Spruce Ave,245 South Spruce Avenue,0.85
119,153,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
119,162,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,238,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,253,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
119,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
119,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
119,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
119,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
120,237,235 Frontenac St.,235 Frontenac St.,1.0
120,741,235 Frontenac St.,235 Frontenac St,0.9333333333333333
123,128,9255 Telstar Ave,9255 Telstar Ave,1.0
123,382,9255 Telstar Ave,9255 TELSTAR AVE,1.0
123,411,9255 Telstar Ave,9255 TELSTAR AVENUE,0.8235294117647058
123,481,9255 Telstar Ave,9255 Telstar ave,1.0
123,488,9255 Telstar Ave,9255 Telstar Ave,1.0
123,506,9255 Telstar Ave,9255 Telstar Ave,1.0
123,723,9255 Telstar Ave,9255 Telstar Ave,1.0
128,382,9255 Telstar Ave,9255 TELSTAR AVE,1.0
128,411,9255 Telstar Ave,9255 TELSTAR AVENUE,0.8235294117647058
128,481,9255 Telstar Ave,9255 Telstar ave,1.0
128,488,9255 Telstar Ave,9255 Telstar Ave,1.0
128,506,9255 Telstar Ave,9255 Telstar Ave,1.0
128,723,9255 Telstar Ave,9255 Telstar Ave,1.0
136,230,100 N. University Drive,100 N. University Drive,1.0
138,431,120 Vassar Street,106 Vasser Street,0.8
138,767,120 Vassar Street,120 Vassar Street,1.0
144,200,3699 Industry Avenue,3699 Industry Avenue,1.0
144,920,3699 Industry Avenue,3699 INUDSTRY AVENUE,0.8888888888888888
144,1259,3699 Industry Avenue,3699 Industry Ave.,0.8333333333333334
147,367,169 Flanders Road,169 Flanders Road,1.0
147,763,169 Flanders Road,169 Flanders Rd,0.8
148,959,3775 Park Ave,3775 Park Ave,1.0
148,1286,3775 Park Ave,3775 PARK AVE,1.0
151,305,379 Victoria Street,379 Victoria Street,1.0
151,658,379 Victoria Street,350 Victoria Street,0.8823529411764706
151,718,379 Victoria Street,350 Victoria Street,0.8823529411764706
151,1358,379 Victoria Street,379 Victoria Street,1.0
153,162,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,238,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,253,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,339,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,398,3410 Pomona Blvd.,3410 Pomona Blvd.,1.0
153,417,3410 Pomona Blvd.,3410 POMONA BLVD,0.9333333333333333
153,440,3410 Pomona Blvd.,3410 POMONA BLVD,0.9333333333333333
153,650,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,700,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,840,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
153,897,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
160,274,Modern High School Premises,Modern High School Premises,1.0
160,453,Modern High School Premises,Modern High School Premises,1.0
161,271,Sportova 10,Športova 10,0.9
162,238,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,253,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
162,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
162,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
162,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
162,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
170,458,Reu Emile Muraille 158,Rue Emile Muraille 158,0.8947368421052632
170,565,Reu Emile Muraille 158,Rue Emile Muraille 158,0.8947368421052632
173,968,Vodova 108,Vodova 108,1.0
180,470,Ved Stadion 4,Ved Stadion 4,1.0
180,696,Ved Stadion 4,Ved Stadion 4,1.0
180,801,Ved Stadion 4,Ved Stadion 4,1.0
180,956,Ved Stadion 4,Ved Stadion 4,1.0
180,1079,Ved Stadion 4,Ved Stadion 4,1.0
185,292,avenue des trois lacs 1,Avenue des trois lacs 1,1.0
185,474,avenue des trois lacs 1,Avenue des Trois Lacs 1,1.0
188,214,12336 Lower Azusa Rd.,12336 Lower Azusa,0.8333333333333334
188,216,12336 Lower Azusa Rd.,12336 Lower Azusa Rd,0.9444444444444444
193,323,Gnodavogi 1,Gnoðavogi 1,0.9
193,505,Gnodavogi 1,Gnoðavogi 1,0.9
193,598,Gnodavogi 1,Gnoðavogi 1,0.9
195,578,Masarykova 1313,Masarykova 1313,1.0
195,704,Masarykova 1313,Masarykova 1313,1.0
195,994,Masarykova 1313,Masarykova 1313,1.0
195,1110,Masarykova 1313,Masarykova 1313,1.0
200,920,3699 Industry Avenue,3699 INUDSTRY AVENUE,0.8888888888888888
200,1259,3699 Industry Avenue,3699 Industry Ave.,0.8333333333333334
207,312,Brabourne Stadium Dinshaw Vachha Road Churchgate,Brabourne Stadium Dinshaw Vachha Road Churchgate,1.0
208,407,Falkoner Alle 9,Falkoner alle 9,1.0
214,216,12336 Lower Azusa,12336 Lower Azusa Rd,0.8823529411764706
217,509,Vogelweidplatz 14,Vogelweidplatz 14,1.0
219,605,An den Sportstätten 6,An den Sportstätten 6,1.0
219,979,An den Sportstätten 6,An den Sportstätten 6,1.0
219,1099,An den Sportstätten 6,An den Sportstätten 6,1.0
219,1417,An den Sportstätten 6,An den Sportstätten 6,1.0
224,334,No. 1 Lorong 23 Geylang,No. 1 Lorong 23 Geylang,1.0
225,336,Pileckiego Street 122,Pileckiego Street 122,1.0
227,424,rue Eugene vignat,Rue Eugene Vignat,1.0
227,515,rue Eugene vignat,Rue Eugene Vignat,1.0
229,425,Rajatorpantie 23,Rajatorpantie 23,1.0
229,749,Rajatorpantie 23,Rajatorpantie 23,1.0
229,1363,Rajatorpantie 23,Rajatorpantie 23,1.0
229,1437,Rajatorpantie 23,Rajatorpantie 23,1.0
233,619,Trg Kresimira Cosica 11,Trg Krešimira Ćosića 11,0.85
233,742,Trg Kresimira Cosica 11,TRG KREŠIMIRA ČOSIĆA 11,0.85
233,1208,Trg Kresimira Cosica 11,Trg Krešimira Ćosića 11,0.85
235,521,Noordweg 26,Noordweg 26,1.0
235,755,Noordweg 26,Noordweg 26,1.0
235,1276,Noordweg 26,Noordweg 26,1.0
237,741,235 Frontenac St.,235 Frontenac St,0.9333333333333333
238,253,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
238,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
238,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
238,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
238,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
240,352,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
240,526,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
240,1116,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
244,355,Paseo Imperial 18,Paseo Imperial 18,1.0
244,434,Paseo Imperial 18,Paseo Imperial 18,1.0
244,538,Paseo Imperial 18,Paseo Imperial 18,1.0
244,637,Paseo Imperial 18,Paseo Imperial 18,1.0
244,926,Paseo Imperial 18,Paseo Imperial 18,1.0
247,277,Perkuno al. 5,Perkūno al. 5,0.9090909090909091
247,438,Perkuno al. 5,Perkuno al. 5,1.0
247,634,Perkuno al. 5,Perkuno al. 5,1.0
248,447,Senayan,Senayan,1.0
248,528,Senayan,Senayan,1.0
250,269,KAMPALA,KAMPALA,1.0
253,339,3410 Pomona Blvd,3410 Pomona Blvd,1.0
253,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
253,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
253,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
253,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
253,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
253,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
253,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
255,541,63-25 MAIN STREET,63-25 Main Street,1.0
267,638,46049 Warm Springs Blvd,46049 Warm Springs Blvd,1.0
267,663,46049 Warm Springs Blvd,46049 Warm Springs Blvd,1.0
273,604,4141 North John Young Parkway,4141 North John Young Parkway,1.0
274,453,Modern High School Premises,Modern High School Premises,1.0
277,438,Perkūno al. 5,Perkuno al. 5,0.9090909090909091
277,634,Perkūno al. 5,Perkuno al. 5,0.9090909090909091
281,568,Batareinaya str,Batareinaya str. 2,0.875
281,936,Batareinaya str,Batareynaya str. 2,0.8125
292,474,Avenue des trois lacs 1,Avenue des Trois Lacs 1,1.0
294,581,Kibbutz Hatzor,Kibbutz Hatzor,1.0
295,973,4230 Hubbard Street,4230 Hubbard Street,1.0
305,658,379 Victoria Street,350 Victoria Street,0.8823529411764706
305,718,379 Victoria Street,350 Victoria Street,0.8823529411764706
305,1358,379 Victoria Street,379 Victoria Street,1.0
321,375,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
321,384,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
321,1012,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
322,454,2301 Bancroft Way,2301 Bancroft Way,1.0
323,505,Gnoðavogi 1,Gnoðavogi 1,1.0
323,598,Gnoðavogi 1,Gnoðavogi 1,1.0
328,413,Adversity Volleyball Center 710 Corporate Woods Pkwy.,Adversity Volleyball Center 710 Corporate Woods Pkwy,0.9787234042553191
332,416,Badmintonpad 1,Badmintonpad 1,1.0
332,510,Badmintonpad 1,Badmintonpad 1,1.0
332,606,Badmintonpad 1,Badmintonpad 1,1.0
333,511,Av. Vasco da Gama,Av. Vasco da Gama,1.0
338,497,"Via Giovanni Cimabue, 24",Via Giovanni Cimabue 24,0.8571428571428571
338,1030,"Via Giovanni Cimabue, 24",Via Giovanni Cimabue 24,0.8571428571428571
339,398,3410 Pomona Blvd,3410 Pomona Blvd.,0.9333333333333333
339,417,3410 Pomona Blvd,3410 POMONA BLVD,1.0
339,440,3410 Pomona Blvd,3410 POMONA BLVD,1.0
339,650,3410 Pomona Blvd,3410 Pomona Blvd,1.0
339,700,3410 Pomona Blvd,3410 Pomona Blvd,1.0
339,840,3410 Pomona Blvd,3410 Pomona Blvd,1.0
339,897,3410 Pomona Blvd,3410 Pomona Blvd,1.0
347,487,1251 Basswood Rd.,1251 Basswood Road,0.8125
347,501,1251 Basswood Rd.,1251 Basswood Rd,0.9333333333333333
347,539,1251 Basswood Rd.,1251 Basswood Rd.,1.0
347,594,1251 Basswood Rd.,1251 Basswood Rd,0.9333333333333333
347,793,1251 Basswood Rd.,1251 Basswood Road,0.8125
347,1016,1251 Basswood Rd.,1251 Basswood Rd,0.9333333333333333
347,1105,1251 Basswood Rd.,1251 Basswood Rd.,1.0
352,526,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
352,1116,Ostrovrharjeva 4,Ostrovrharjeva 4,1.0
353,524,Rockwell Gymnasium 106 Vassar Street,Rockwell Gymnasium 106 Vassar Street,1.0
355,434,Paseo Imperial 18,Paseo Imperial 18,1.0
355,538,Paseo Imperial 18,Paseo Imperial 18,1.0
355,637,Paseo Imperial 18,Paseo Imperial 18,1.0
355,926,Paseo Imperial 18,Paseo Imperial 18,1.0
360,439,746 S. Milpitas Blvd.,746 S. Milpitas Blvd.,1.0
367,763,169 Flanders Road,169 Flanders Rd,0.8
375,384,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
375,1012,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
382,411,9255 TELSTAR AVE,9255 TELSTAR AVENUE,0.8235294117647058
382,481,9255 TELSTAR AVE,9255 Telstar ave,1.0
382,488,9255 TELSTAR AVE,9255 Telstar Ave,1.0
382,506,9255 TELSTAR AVE,9255 Telstar Ave,1.0
382,723,9255 TELSTAR AVE,9255 Telstar Ave,1.0
384,1012,2019 Corporate Lane Suite 103,2019 Corporate Lane Suite 103,1.0
390,442,4141 N John Young Parkway,4141 N John Young Parkway,1.0
390,688,4141 N John Young Parkway,4141 N John Young Parkway #3,0.9130434782608695
398,417,3410 Pomona Blvd.,3410 POMONA BLVD,0.9333333333333333
398,440,3410 Pomona Blvd.,3410 POMONA BLVD,0.9333333333333333
398,650,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
398,700,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
398,840,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
398,897,3410 Pomona Blvd.,3410 Pomona Blvd,0.9333333333333333
399,727,Basamalom utca 33.,Basamalom utca 33.,1.0
402,496,Ihaste tee 7,Ihaste tee 7,1.0
402,860,Ihaste tee 7,Ihaste tee 7,1.0
402,1248,Ihaste tee 7,Ihaste tee 7,1.0
402,1249,Ihaste tee 7,Ihaste tee 7,1.0
402,1400,Ihaste tee 7,Ihaste tee 7,1.0
404,589,Via della Stazione di Castel Fusano,Via della Stazione di Castel Fusano,1.0
411,481,9255 TELSTAR AVENUE,9255 Telstar ave,0.8235294117647058
411,488,9255 TELSTAR AVENUE,9255 Telstar Ave,0.8235294117647058
411,506,9255 TELSTAR AVENUE,9255 Telstar Ave,0.8235294117647058
411,723,9255 TELSTAR AVENUE,9255 Telstar Ave,0.8235294117647058
412,641,"245 S. Spruce Ave, Suite 700","245 S. Spruce Ave, Suite 700",1.0
416,510,Badmintonpad 1,Badmintonpad 1,1.0
416,606,Badmintonpad 1,Badmintonpad 1,1.0
417,440,3410 POMONA BLVD,3410 POMONA BLVD,1.0
417,650,3410 POMONA BLVD,3410 Pomona Blvd,1.0
417,700,3410 POMONA BLVD,3410 Pomona Blvd,1.0
417,840,3410 POMONA BLVD,3410 Pomona Blvd,1.0
417,897,3410 POMONA BLVD,3410 Pomona Blvd,1.0
419,512,Weißenseer Weg 53,Weißenseer Weg 53,1.0
419,1419,Weißenseer Weg 53,Weißenseer Weg 53,1.0
422,480,2960 Washtenaw Avenue,2960 Washtenaw Ave,0.8421052631578947
424,515,Rue Eugene Vignat,Rue Eugene Vignat,1.0
425,749,Rajatorpantie 23,Rajatorpantie 23,1.0
425,1363,Rajatorpantie 23,Rajatorpantie 23,1.0
425,1437,Rajatorpantie 23,Rajatorpantie 23,1.0
426,465,500 Joseph C Wilson blvd,500 Joseph C Wilson Blvd,1.0
431,767,106 Vasser Street,120 Vassar Street,0.8
434,538,Paseo Imperial 18,Paseo Imperial 18,1.0
434,637,Paseo Imperial 18,Paseo Imperial 18,1.0
434,926,Paseo Imperial 18,Paseo Imperial 18,1.0
436,561,9200 Corkscrew Palms Blvd.,9200 Corkscrew Palms Blvd,0.9565217391304348
438,634,Perkuno al. 5,Perkuno al. 5,1.0
440,650,3410 POMONA BLVD,3410 Pomona Blvd,1.0
440,700,3410 POMONA BLVD,3410 Pomona Blvd,1.0
440,840,3410 POMONA BLVD,3410 Pomona Blvd,1.0
440,897,3410 POMONA BLVD,3410 Pomona Blvd,1.0
442,688,4141 N John Young Parkway,4141 N John Young Parkway #3,0.9130434782608695
447,528,Senayan,Senayan,1.0
448,906,General Gurko st. 5,General Gurko str. 5,0.8235294117647058
448,946,General Gurko st. 5,General Gurko str. 5,0.8235294117647058
448,1315,General Gurko st. 5,General Gurko str.5,0.8235294117647058
450,484,Ostrov 363,Ostrov 363,1.0
450,731,Ostrov 363,Ostrov 363,1.0
450,828,Ostrov 363,Ostrov 363,1.0
450,1041,Ostrov 363,Ostrov 363,1.0
450,1092,Ostrov 363,Ostrov 363,1.0
450,1209,Ostrov 363,Ostrov 363,1.0
457,563,6324 Ballinger Rd,6324 Ballinger Rd,1.0
458,565,Rue Emile Muraille 158,Rue Emile Muraille 158,1.0
462,566,Nad Kralovskou oborou 51,Nad Kralovskou oborou 51,1.0
470,696,Ved Stadion 4,Ved Stadion 4,1.0
470,801,Ved Stadion 4,Ved Stadion 4,1.0
470,956,Ved Stadion 4,Ved Stadion 4,1.0
470,1079,Ved Stadion 4,Ved Stadion 4,1.0
473,836,220 Westwood Plaza,220 Westwood Plz,0.8125
473,1221,220 Westwood Plaza,220 Westwood Plaza,1.0
475,1349,Cesta na Fuzine 1,Cesta na Fužine 1,0.9285714285714286
476,586,345 Hawthorne Ln,345 Hawthorne Lane,0.8125
481,488,9255 Telstar ave,9255 Telstar Ave,1.0
