Venue1_Id,Venue2_Id,Venue1_Name,Venue2_Name,Venue1_StreetAddress,Venue2_StreetAddress,Similarity
511,1114,High Performance Centre,Badminton High Performance Centre,Av. Vasco da Gama,Av Vasco da Gama,0.875
539,1105,Egret Badminton Center,Egret Badminton,1251 Basswood Rd.,1251 Basswood Rd.,0.8333333333333334
540,581,Hatzor Sport Hall,Kibbutz Hatzor sport hall,Kibbutz Hatzor Ashdod,Kibbutz Hatzor,0.8
540,984,Hatzor Sport Hall,Hatzor sport hall,Kibbutz Hatzor Ashdod,Kibbutz Hatzor-Ashdod,1.0
545,1123,Harbour Pointe Badminton Club,Bellevue Badminton Club (Harbour Pointe),"3616 South Road, Building D","3616 South Road, Building D",0.9
554,671,Federacion Nacional de Badminton de Guatemala,FEDERACION NACIONAL DE BADMINTON,Coliseo Deportivo Ciudad de los Deportes Zona 4,"COLISEO DEPORTIVO, CIUDAD DE LOS DEPORTES ZONA 4",0.9166666666666666
555,1086,coliseo deportivo,COLISEO DEPORTIVO DE BADMINTON,coliseo deportivo ciudad de los deportes zona 4,COLISEO DEPORTIVO CIUDAD DE LOS DEPORTES ZONA 4.,0.8888888888888888
556,802,Sport Hall Spartak,Sport Hall ''Spartak'',2 Sredna Gora Str.,2 Sredna Gora Str.,1.0
556,935,Sport Hall Spartak,Sport Hall “Spartak”,2 Sredna Gora Str.,2 Sredna Gora Str.,1.0
559,618,Pembangunan Jaya Raya,PEMBANGUNAN JAYA RAYA Badminton Training Center,Badminton Training Center Jl. Murai Raya Bintaro,"Jl. Murai Raya, Bintaro",1.0
559,1222,Pembangunan Jaya Raya,Pembangunan Jaya Raya Badminton Training Center,Badminton Training Center Jl. Murai Raya Bintaro,Jl. Murai Raya Bintaro,1.0
569,678,Sport Hall Europe,"Sport Hall ""Europe""",7 Iskarsko Shose Blvd.,7 Iskarsko Shose Blvd.,1.0
569,794,Sport Hall Europe,"Badminton Sport Hall ""Europe""",7 Iskarsko Shose Blvd.,Blvd. Iskarsko shose 7,0.875
569,832,Sport Hall Europe,Sport Hall „Europe“,7 Iskarsko Shose Blvd.,No:7 Iskarsko Shose Blvd,0.875
578,1110,City Sport Hall Orlova,City Sport Hall,Masarykova 1313,Masarykova 1313,0.8333333333333334
580,731,Sportove Centrum M-SPORT,Sportove centrum M-SPORT,Ostrov 363 Zamarovce,Ostrov 363,0.8571428571428571
580,828,Sportove Centrum M-SPORT,Sportove centrum M-Sport,Ostrov 363 Zamarovce,Ostrov 363,0.8571428571428571
580,874,Sportove Centrum M-SPORT,Sportove Centrum M-Sport,Ostrov 363 Zamarovce,"Ostrov 363, Zamarovce",1.0
581,984,Kibbutz Hatzor sport hall,Hatzor sport hall,Kibbutz Hatzor,Kibbutz Hatzor-Ashdod,0.8
593,1263,SPH GYM 2101,SPH Gym 2101,4200 Valley Drive,4200 Valley Drive,1.0
594,1105,EGRET,Egret Badminton,1251 Basswood Rd,1251 Basswood Rd.,0.8
605,979,Innogy Sporthalle,innogy-Sporthalle,An den Sportstätten 6,An den Sportstätten 6,1.0
618,1222,PEMBANGUNAN JAYA RAYA Badminton Training Center,Pembangunan Jaya Raya Badminton Training Center,"Jl. Murai Raya, Bintaro",Jl. Murai Raya Bintaro,1.0
624,1097,Gospino Polje Sports Hall,Gospino Polje hall,Liechtensteinov put 10,Liechtensteinov put 10,0.8571428571428571
624,1433,Gospino Polje Sports Hall,Gospino Polje Hall,Liechtensteinov put 10,Liechtensteinov put 10,0.8571428571428571
631,1299,Shannon Pohl Badminton Academy / Adversity Volleyball Center,Shannon Pohl Badminton Academy/Adversity Volleyball Center,710 Corporate Woods Parkway,710-720 Corporate Woods Parkway,0.9166666666666666
650,700,San Gabriel Valley Badminton Club 2: Pomona,San Gabriel Valley Badminton Club (SGVBC),3410 Pomona Blvd,3410 Pomona Blvd,0.8
650,897,San Gabriel Valley Badminton Club 2: Pomona,San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
667,798,"""NEPTŪNO"" Sports Hall","""NEPTŪNO"" sports hall",Taikos pr. 61A,"Taikos pr. 61A,",1.0
667,953,"""NEPTŪNO"" Sports Hall","""NEPTŪNO"" Sports hall",Taikos pr. 61A,Taikos pr. 61A,1.0
668,685,Smash! Badminton San Diego,Smash Badminton San Diego,9586 Distribution Ave Suite E,"9586 Distribution Ave., Suite E",1.0
671,1086,FEDERACION NACIONAL DE BADMINTON,COLISEO DEPORTIVO DE BADMINTON,"COLISEO DEPORTIVO, CIUDAD DE LOS DEPORTES ZONA 4",COLISEO DEPORTIVO CIUDAD DE LOS DEPORTES ZONA 4.,0.8181818181818182
678,794,"Sport Hall ""Europe""","Badminton Sport Hall ""Europe""",7 Iskarsko Shose Blvd.,Blvd. Iskarsko shose 7,0.875
678,832,"Sport Hall ""Europe""",Sport Hall „Europe“,7 Iskarsko Shose Blvd.,No:7 Iskarsko Shose Blvd,0.875
691,695,Cairo National Stadium,Aly Hasaballah,"Egypt , Cairo , Nasr City , Salah Salem Street , Cairo Stadium , Federations Building , First floor","Egypt , Cairo , Nasr City , Salah Salem Street , Cairo Stadium , Federations Building , First floor",0.8
693,847,Purdue Recreation & Wellness,Purdue Recreation and Wellness,355 N Martin Jischke Dr,355 N Martin Jischke Dr,0.8888888888888888
696,801,Gentofte Badminton Hal tbc,Gentofte Badminton hal,Ved Stadion 4,Ved Stadion 4,0.8571428571428571
697,759,Garden Grove Sports & Recreation Center,Garden Grove Recreation Center,13641 Deodara Dr,13641 Deodara Dr,0.875
700,897,San Gabriel Valley Badminton Club (SGVBC),San Gabriel Valley Badminton Club - Pomona,3410 Pomona Blvd,3410 Pomona Blvd,0.8888888888888888
730,740,"Campus Recreation and Wellness Centre, UOIT",Campus Recreation and Wellness Centre (UOIT),2000 Simcoe Street North,2000 Simcoe Street North,1.0
731,828,Sportove centrum M-SPORT,Sportove centrum M-Sport,Ostrov 363,Ostrov 363,1.0
731,874,Sportove centrum M-SPORT,Sportove Centrum M-Sport,Ostrov 363,"Ostrov 363, Zamarovce",0.8571428571428571
731,1041,Sportove centrum M-SPORT,Sportove centrum M-Sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
731,1092,Sportove centrum M-SPORT,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
731,1209,Sportove centrum M-SPORT,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
735,1050,Arena Birmingham,Utilita Arena Birmingham,King Edwards Road Birmingham,King Edwards Road,0.8333333333333334
744,898,Sporthal Den Willecom,Den Willecom,Terelststraat 2,Terelststraat 2,0.8
755,1276,VELO Hall,VELO-hall,Noordweg 26,Noordweg 26,1.0
764,906,"Sport hall ""Vasil Levski""",Sport hall 'Vasil Levski',"General Gurko str. 5,",General Gurko str. 5,1.0
764,946,"Sport hall ""Vasil Levski""","Sport Hall ""Vasil Levski""","General Gurko str. 5,",General Gurko str. 5,1.0
764,1315,"Sport hall ""Vasil Levski""",Sport Hall “Vasil Levski”,"General Gurko str. 5,",General Gurko str.5,1.0
769,922,QUAYCENTRE,Quaycentre,Olympic Boulevard Sydney Olympic Park,Sydney Olympic Park,0.8
770,910,Polideportivo 2 - CAR Videna,POLIDEPORTIVO 2 - CAR VIDENA,Av. Del Aire Cdra. 8 San Luis,Av. Del Aire Cdra. 9 San Luis,0.8333333333333334
794,948,"Badminton Sport Hall ""Europe""","Badminton Hall ""Europe""",Blvd. Iskarsko shose 7,7 Iskarsko Shose blvd.,0.875
797,952,CREPS BORDEAUX - Gymnase HAND/BAD,Creps Bordeaux - Gymnase Hand/Bad,653 cours de la liberation,653 cours de la liberation,1.0
797,1078,CREPS BORDEAUX - Gymnase HAND/BAD,CREPS Bordeaux - Gymnase Hand/Bad,653 cours de la liberation,653 cours de la liberation,1.0
798,953,"""NEPTŪNO"" sports hall","""NEPTŪNO"" Sports hall","Taikos pr. 61A,",Taikos pr. 61A,1.0
800,1162,Istora Senayan Stadium,"ISTORA Stadium, Senayan",Istora Senayan Stadium,,1.0
802,935,Sport Hall ''Spartak'',Sport Hall “Spartak”,2 Sredna Gora Str.,2 Sredna Gora Str.,1.0
804,871,all d'Hebron Olympic Sports Centre,Vall d’Hebron Olympic Sports Centre,Passeig de la Vall d'Hebron 166-176,"Passeig de la Vall d'Hebron, 166-176",0.9166666666666666
804,1029,all d'Hebron Olympic Sports Centre,Vall d'Hebron Olympic Sports Centre,Passeig de la Vall d'Hebron 166-176,Passeig de la Vall d'Hebron 166-176,0.9166666666666666
811,1024,Club28 Badminton Philadelphia,Club28 Badminton,3559 Edgemont St.,3559 Edgemont St.,0.8333333333333334
825,961,NAS Sports Complex,NAS Sports complex,"NAS Sports Complex NAS Sports Complex, Nad Al Sheba, Dubai – UAE","NAS Sports complex NAS Sports Complex, Nad Al Sheba, Dubai – UAE.",1.0
828,874,Sportove centrum M-Sport,Sportove Centrum M-Sport,Ostrov 363,"Ostrov 363, Zamarovce",0.8571428571428571
828,1041,Sportove centrum M-Sport,Sportove centrum M-Sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
828,1092,Sportove centrum M-Sport,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
828,1209,Sportove centrum M-Sport,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,0.8571428571428571
829,876,Triangle Badminton Club (TBC),Triangle Badminton Club,1012 Morrisville Parkway,1012 Morrisville Parkway,0.8571428571428571
833,1040,Delfi sports centre,"""Delfi"" Sports Centre",Ozo str. 14c,Ozo str. 14C,1.0
865,1019,Indoor Stadium Huamark,Indoor stadium Huamark,"Ramkhamhaeng Rd, Khwaeng Hua Mark Khet Bang Kapi Krung Thep Maha Nakhon",Ramkhamhaeng Rd. Khweang Hua Mark Khet Bang Kapi Krung Thep Maha,0.8125
866,1438,SMASH Badminton,Smash,9586 Distribution Ave Suite E,9586 Distribution Ave Suite E,0.8571428571428571
871,1029,Vall d’Hebron Olympic Sports Centre,Vall d'Hebron Olympic Sports Centre,"Passeig de la Vall d'Hebron, 166-176",Passeig de la Vall d'Hebron 166-176,1.0
875,1032,Badmintonhall DEGIRO,Badmintonhall DEGIRO hall,Badmintonplein 1,Badmintonplein 1,0.8
891,1091,Arena Badminton & Sports Club,ARENA BADMINTON CLUB,"2780 S. Reservoir St,",2780 S RESERVOIR ST,0.875
906,946,Sport hall 'Vasil Levski',"Sport Hall ""Vasil Levski""",General Gurko str. 5,General Gurko str. 5,1.0
906,1315,Sport hall 'Vasil Levski',Sport Hall “Vasil Levski”,General Gurko str. 5,General Gurko str.5,1.0
907,912,National Athletic Center,National Athletic Center Mikra,Mikra Kalamaria,,0.8
919,1039,Zemgales Olimpiskais Centrs,Zemgales Olimpiskais centrs,Kronvalda 24,Kronvalda 24,1.0
946,1315,"Sport Hall ""Vasil Levski""",Sport Hall “Vasil Levski”,General Gurko str. 5,General Gurko str.5,1.0
952,1078,Creps Bordeaux - Gymnase Hand/Bad,CREPS Bordeaux - Gymnase Hand/Bad,653 cours de la liberation,653 cours de la liberation,1.0
970,1006,Atlanta Recreation club,Atlanta Recreation Club,"2711 Pine Grove Rd, Cumming",2711 Pine Grove Rd,0.875
970,1047,Atlanta Recreation club,ATLANTA RECREATION CLUB,"2711 Pine Grove Rd, Cumming",2711 Pine Grove Rd,0.875
991,1458,Bellevue Badminton Club -- Renton,Bellevue Badminton Club - Renton,846 Lind Ave SW,846 Lind Ave SW SW,1.0
996,1014,Smashville MainLine,Smashville Mainline,250 King manor Dr.,250 King Manor Dr,1.0
999,1235,"BNSC Indoor Hall,Lobatse Sports Complex",Lobatse sports complex indoor hall,Lobatse Sports Complex P.O.Box 1404 Gaborone,BNSC c/o P.O.Box 1404 Gaborone,0.9166666666666666
1006,1047,Atlanta Recreation Club,ATLANTA RECREATION CLUB,2711 Pine Grove Rd,2711 Pine Grove Rd,1.0
1008,1143,Santa Fe Springs Badminton Club,Santa Fe Springs Badminton CLub,11323 Shoemaker Ave,"11323 SHoemaker Ave.,",1.0
1016,1105,EGRET Badminton Club,Egret Badminton,1251 Basswood Rd,1251 Basswood Rd.,0.8333333333333334
1023,1056,Polideportivo Municipal de Arroyo de la Miel,Polideportivo Municipal Arroyo de la Miel,Calle Orujo,Calle Orujo 2,0.8888888888888888
1041,1092,Sportove centrum M-Sport Trencin,Sportove centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1041,1209,Sportove centrum M-Sport Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1056,1255,Polideportivo Municipal Arroyo de la Miel,Polideportivo Arroyo de la Miel,Calle Orujo 2,Calle Orujo 2,0.8888888888888888
1062,1087,Midwest Badminton Woodridge,Midwest Badminton Club - Woodridge,8202 Lemont Road,8202 Lemont Road,0.8571428571428571
1065,1136,Triangle Badminton and Table Tennis,Triangle Badminton & Table Tennis,"2900 Perimeter Park Dr, Suite# 200","2900 Perimeter Park Dr, #200",0.8181818181818182
1067,1138,New Jersey Badminton Club,New Jersey Badminton CLub,2 Changebridge Rd,2 Changebridge Rd,1.0
1077,1191,Burnsville High School (enter via Door 1),Burnsville High School Gym (enter via Door 1),600 State Hwy 13,600 State Hwy 13,0.9166666666666666
1085,1147,Täby Racketcenter,Täby RacketCenter,Flyghamnsvägen 16,Flyghamnsvägen 16,1.0
1092,1209,Sportove centrum M-sport Trencin,Sportove Centrum M-sport Trencin,Ostrov 363,Ostrov 363,1.0
1094,1342,Club 28 Badminton,Club 28 badminton Philadelphia,3569 Edgemont st.,3569 Edgemont St.,0.8571428571428571
1097,1433,Gospino Polje hall,Gospino Polje Hall,Liechtensteinov put 10,Liechtensteinov put 10,1.0
1102,1371,Langeskov Hallerne,Langeskov hallerne,Børmosevej 3,Børmosevej 3,1.0
1106,1455,Elite Badminton Center,ELITE BADMINTON CENTER,33540 Central Ave,33540 CENTER AVE,0.8333333333333334
1120,1211,LONG ISLAND BADMINTON CENTER,Long Island Badminton Center,575 MERRICK AVE.,575 Merrick Ave,1.0
1132,1388,SPARC Arena NOVI,SPARC Arena,42775 9 Mile Rd,42775 9 mile rd,0.8571428571428571
1148,1388,SPARC,SPARC Arena,42775 9 Mile Rd,42775 9 mile rd,0.8333333333333334
1167,1305,Sport Hall Svilengrad,"Sport Hall ""Svilengrad""",Nencho Hristov Str.,Nencho Hristov str.,1.0
1182,1330,Gymnase Hand bad CREPS,Gymnase Hand-bad CREPS,653 avenue de la libération,653 avenue de la libération,1.0
1187,1194,Club28 badminton,Club28 badminton Philadelphia,3569 Edgemont st,3569 Edgemont st.,0.8333333333333334
1204,1354,SD Sutinska Vrela Zagreb,SD Sutinska vrela,Podsusedski trg 14b,Podsusedski trg 14B,0.8571428571428571
1225,1389,Chicago Badminton Academy,chicago badminton academy,570A Telser Rd,570A Telser Rd,1.0
1230,1385,OYDC ZAMBIA - SPORTS DEVELOPMENT CENTRE,OYDC Zambia - Sports Development Centre,GREAT NORTH ROAD,Great North Road,1.0
1231,1329,NETS & TURF,Nets and turf,2711 Pine Grove Rd,2711 Pine grove rd,0.8571428571428571
1231,1387,NETS & TURF,Nets & Turf Arena,2711 Pine Grove Rd,2711 Pine grove rd,0.8571428571428571
1234,1351,The India Club Bahrain,India Club Bahrain,"The India Club Bahrain Road No. 825, Zubara Avenue,","India Club Bahrain Road No. 825, Zubara Avenue,",0.8888888888888888
1242,1294,Nets and Turf,Nets & Turf,2711 Pine grove road,2711 Pine grove road,0.8571428571428571
1249,1400,A. Le Coq Sports Hall,A le Coq Sports hall,Ihaste tee 7,Ihaste tee 7,1.0
1274,1368,MBC @ NAPERVILLE,MBC Naperville,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,1.0
1274,1404,MBC @ NAPERVILLE,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1308,1456,Salle metropolitaine de la Trocardière,Salle Metropolitaine de la Trocardière,91 Rue de la Trocardière,91 Rue de la Trocardière,1.0
1309,1404,MBC NP,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1324,1429,The Farm (TBC),The Farm,2660 Vickers Drive,2660 Vickers Drive,0.8333333333333334
1325,1463,Champ Fleuri Gymnasium,Gymnasium Champ Fleuri,8 rue Christol de Sigoyer,8 rue Christol de Sigoyer,1.0
1342,1390,Club 28 badminton Philadelphia,Club 28 Philadelphia,3569 Edgemont St.,3569 Edgemont st,0.8571428571428571
1368,1404,MBC Naperville,MBC,2019 Corporate Ln STE 103,2019 Corporate Ln STE 103,0.8571428571428571
1384,1413,Ramsey Student Center; Gym East,Ramsey Student Center - Gym East,330 River Rd.,330 River Rd,1.0
